3410069^^2020-09-06|Namungo FC|Coastal Union|1 - 0^^64~H~G~Blaise Bigirimana
3410083^^2020-09-06|Biashara Mara United|Gwambina FC|1 - 0^^88~H~G~Kelvin Friday
3410082^^2020-09-06|Dodoma Jiji FC|Mwadui|1 - 0^^69~H~G~Khamis Mcha Khamis
3410081^^2020-09-06|Singida Black Stars|Simba SC|1 - 2^^11~A~G~John Bocco;15~H~G~Omary Mponda;43~A~G~Mzamiru Yassin
3410079^^2020-09-06|Young Africans|Tanzania Prisons|1 - 1^^8~A~G~Lambart Sabiyanka;19~H~G~Michael Sarpong
3410076^^2020-09-07|Azam FC|Polisi Tanzania FC|1 - 0^^45~H~G~Aubrey Chirwa
3410074^^2020-09-11|Azam FC|Coastal Union|2 - 0^^70~H~G~Prince Dube;89~H~G~Prince Dube
3410073^^2020-09-12|JKT Tanzania|Dodoma Jiji FC|0 - 2^^50~A~G~<TBD>;80~A~G~Dickson Ambundo
3410072^^2020-09-12|Kinondoni MC|Tanzania Prisons|2 - 1^^21~H~G~Hassan Kabunda;39~A~G~Kassimu Mdoe;85~H~G~<TBD>
3410071^^2020-09-12|Mtibwa Sugar|Simba SC|1 - 1^^45~A~G~Mzamiru Yassin;46~H~G~Boban Bogere
3410070^^2020-09-13|Singida Black Stars|Ruvu Shooting|1 - 0^^7~H~G~Enock Mkanga
3410084^^2020-09-13|Biashara Mara United|Mwadui|1 - 0^^72~H~G~<TBD>
3410085^^2020-09-13|Young Africans|Mbeya City|1 - 0^^86~H~G~Moro Lamine
3410099^^2020-09-14|Namungo FC|Polisi Tanzania FC|0 - 1^^76~A~G~Rashid Mtabwigwa
3410098^^2020-09-18|Polisi Tanzania FC|JKT Tanzania|1 - 1^^32~H~G~Saliboko Daluwesh;64~A~G~Kelvin Sabato
3410097^^2020-09-18|Singida Black Stars|Mtibwa Sugar|0 - 1^^35~A~G~Japhary Kibaya
3410096^^2020-09-19|Tanzania Prisons|Namungo FC|1 - 0^^47~H~G~Gasper Mwaipasi
3410094^^2020-09-20|Mbeya City|Azam FC|0 - 1^^25~A~G~Ally Niyonzima
3410091^^2020-09-21|Mwadui|Kinondoni MC|1 - 2^^11~H~G~<TBD>;77~A~G~Reliants Lusajo;84~A~G~Reliants Lusajo
