3987877^^2022-08-15|Singida Black Stars|Ruvu Shooting|0 - 1^^19~A~G~Ally Mwale
3987878^^2022-08-15|Namungo FC|Mtibwa Sugar|2 - 2^^32~H~G~Reliants Lusajo;55~A~G~Vedastus Mwihambi;80~A~G~Nickson Kibabage;81~H~G~Reliants Lusajo
3987879^^2022-08-16|Fountain Gate FC|Tanzania Prisons|1 - 0^^36~H~G~<TBD>
3987880^^2022-08-16|Polisi Tanzania FC|Young Africans|1 - 2^^35~H~G~<TBD>;42~A~G~Fiston Mayele;85~A~G~Bakari Nondo
3987882^^2022-08-17|Coastal Union|Kinondoni MC|1 - 0^^36~H~G~Amza Moubarack
3987881^^2022-08-17|Dodoma Jiji FC|Mbeya City|1 - 3^^18~H~G~<TBD>;26~A~G~<TBD>;42~A~G~Sixtus Sabilo;63~A~G~Eliud Ambokile
3987883^^2022-08-17|Simba SC|Geita Gold FC|3 - 0^^37~H~G~Augustine Okrah;61~H~G~Moses Phiri;82~H~PEN~Clatous Chama
3987884^^2022-08-17|Azam FC|Kagera Sugar|2 - 1^^10~A~G~Anuary Jabiri;17~H~G~Prince Dube;58~H~G~Tepsi Evans
3987885^^2022-08-19|Singida Black Stars|Namungo FC|0 - 1^^49~A~G~Reliants Lusajo
3987899^^2022-08-20|Coastal Union|Young Africans|0 - 2^^4~A~G~Bernard Morrison;67~A~G~Fiston Mayele
3987897^^2022-08-20|Dodoma Jiji FC|Tanzania Prisons|1 - 2^^1~A~G~Ismail Mgunda;6~A~G~<TBD>;17~H~G~Hassan Mwaterema
3987898^^2022-08-20|Simba SC|Kagera Sugar|2 - 0^^42~H~G~Moses Phiri;81~H~G~Dejan Georgijevic
3987896^^2022-08-21|Mtibwa Sugar|Ruvu Shooting|2 - 1^^22~H~G~Nassor Kiziwa;46~A~G~<TBD>;56~H~G~Nassor Kiziwa
3987895^^2022-08-21|Fountain Gate FC|Mbeya City|2 - 1^^49~A~G~Sixtus Sabilo;53~H~G~<TBD>;61~H~G~<TBD>
3987886^^2022-08-21|Polisi Tanzania FC|Kinondoni MC|2 - 2^^4~H~G~<TBD>;5~A~G~Matheo Anthony;10~H~G~Chilo Mkama;48~A~G~Matheo Anthony
3987894^^2022-08-21|Azam FC|Geita Gold FC|1 - 1^^42~H~G~Tepsi Evans;55~A~G~Adeyoum Ahmed
3987893^^2022-09-06|Geita Gold FC|Kagera Sugar|1 - 1^^44~A~G~Abeid Athumani Katonda;74~H~G~Seleman Ibrahim
3987892^^2022-09-06|Young Africans|Azam FC|2 - 2^^24~A~G~Daniel Amoah;56~H~G~Feisal Salum;65~A~G~Malickou Ndoye;76~H~G~Feisal Salum
3987891^^2022-09-07|Mtibwa Sugar|Singida Black Stars|3 - 1^^8~A~G~Andrew Simchimba;45~H~G~Ismaily Mhesa;50~H~G~<TBD>;82~H~G~Nickson Kibabage
3987890^^2022-09-07|Simba SC|Kinondoni MC|2 - 2^^2~H~G~Moses Phiri;47~A~G~Matheo Anthony;58~A~G~George Makanga;89~H~G~Habib Kyombo
3987889^^2022-09-09|Tanzania Prisons|Mbeya City|1 - 1^^7~A~G~Hassan Maulid;89~H~G~<TBD>
3987888^^2022-09-10|Coastal Union|Polisi Tanzania FC|0 - 0^^
3987887^^2022-09-11|Fountain Gate FC|Dodoma Jiji FC|0 - 0^^
3987900^^2022-09-11|Namungo FC|Ruvu Shooting|1 - 0^^82~H~G~Reliants Lusajo
3999617^^2022-09-13|Mbeya City|Azam FC|0 - 1^^60~A~G~Idris Mbombo
3999629^^2022-09-13|Young Africans|Mtibwa Sugar|3 - 0^^33~H~G~Djuma Shabani;37~H~G~Fiston Mayele;90~H~G~Stephane Aziz Ki
3999631^^2022-09-14|Tanzania Prisons|Simba SC|0 - 1^^86~A~G~Jonas Mkude
3999634^^2022-09-17|Namungo FC|Coastal Union|1 - 0^^39~H~G~Reliants Lusajo
3999635^^2022-09-18|Kagera Sugar|Dodoma Jiji FC|0 - 0^^
3999632^^2022-09-19|Ruvu Shooting|Polisi Tanzania FC|1 - 0^^48~H~G~Hamis Kassim
3999633^^2022-09-20|Kinondoni MC|Singida Black Stars|2 - 1^^3~H~G~Matheo Anthony;34~A~G~Raphael Loth;76~H~G~Steve Nzigamasabo
3999630^^2022-09-21|Geita Gold FC|Fountain Gate FC|1 - 1^^9~H~G~George Mpole;43~A~G~<TBD>
3999620^^2022-09-29|Dodoma Jiji FC|Geita Gold FC|1 - 0^^28~H~G~Collins Opare
3999636^^2022-09-29|Ruvu Shooting|Coastal Union|2 - 1^^8~A~G~Vicent Vicent;34~H~G~Rashid Mtabwigwa;60~H~G~Rashid Mtabwigwa
3999621^^2022-09-30|Tanzania Prisons|Azam FC|1 - 0^^46~H~G~<TBD>
3999622^^2022-10-01|Namungo FC|Kinondoni MC|0 - 0^^
3999623^^2022-10-02|Mtibwa Sugar|Mbeya City|2 - 2^^1~H~G~Nickson Kibabage;28~H~G~<TBD>;56~A~G~<TBD>;64~A~G~Seif Tariq
3999624^^2022-10-02|Simba SC|Dodoma Jiji FC|3 - 0^^4~H~G~<TBD>;45~H~G~Moses Phiri;85~H~G~Habib Kyombo
3999625^^2022-10-03|Coastal Union|Kagera Sugar|2 - 0^^10~H~PEN~Amza Moubarack;65~H~G~Amza Moubarack
3999626^^2022-10-03|Ruvu Shooting|Young Africans|1 - 2^^51~A~G~Feisal Salum;71~A~G~Bakari Nondo;85~H~G~Roland Msonjo
3999638^^2022-10-03|Azam FC|Fountain Gate FC|1 - 0^^45~H~G~Sospeter Bajana
3999639^^2022-10-04|Polisi Tanzania FC|Geita Gold FC|1 - 2^^45~A~G~George Mpole;64~H~G~Hassan Kapona;83~A~G~Edmund John
3999654^^2022-10-04|Singida Black Stars|Tanzania Prisons|1 - 1^^55~H~G~Japhary Kibaya;80~A~G~Ismail Mgunda
3999655^^2022-10-07|Kinondoni MC|Ruvu Shooting|0 - 0^^
3999656^^2022-10-08|Mbeya City|Singida Black Stars|1 - 1^^4~H~G~Sixtus Sabilo;12~A~G~Japhary Kibaya
3999657^^2022-10-08|Kagera Sugar|Polisi Tanzania FC|2 - 0^^10~H~G~Abdulaziz Makame;52~H~G~<TBD>
3999658^^2022-10-09|Mtibwa Sugar|Tanzania Prisons|0 - 0^^
3999661^^2022-10-13|Coastal Union|Geita Gold FC|0 - 0^^
3999663^^2022-10-14|Mbeya City|Polisi Tanzania FC|3 - 1^^16~A~G~Vitalis Mayanga;50~H~G~Hassan Maulid;64~H~G~Sixtus Sabilo;73~H~G~Tariq Seif
3999664^^2022-10-15|Kagera Sugar|Ruvu Shooting|2 - 1^^9~H~G~Hamis Kiiza;27~A~G~Rashid Mtabwigwa;69~H~G~Anuary Jabiri
3999628^^2022-10-15|Kinondoni MC|Mtibwa Sugar|2 - 1^^13~A~OG~Charles Ilanfya;39~H~G~Mohamed Kassim;58~H~G~Manou Mvuyekure
3999665^^2022-10-16|Singida Black Stars|Dodoma Jiji FC|2 - 0^^23~H~G~Japhary Kibaya;32~H~G~Aubrey Chirwa
3999652^^2022-10-18|Mtibwa Sugar|Fountain Gate FC|1 - 0^^63~H~G~Charles Ilanfya
3999637^^2022-10-19|Polisi Tanzania FC|Namungo FC|1 - 0^^40~H~G~Rajab Athuman
3999627^^2022-10-21|Kagera Sugar|Fountain Gate FC|1 - 2^^15~H~G~Hamis Kiiza;51~A~G~Bruno Gomes;88~A~G~Bruno Gomes
3999641^^2022-10-21|Kinondoni MC|Azam FC|2 - 1^^15~H~G~Steve Nzigamasabo;18~A~G~Idris Mbombo;57~H~G~George Makanga
3999640^^2022-10-22|Geita Gold FC|Namungo FC|2 - 1^^12~A~OG~Oscar Masai;18~H~G~Saidi Ntibazonkiza;53~H~G~Often Chikola
3999642^^2022-10-23|Young Africans|Simba SC|1 - 1^^14~A~G~Augustine Okrah;45~H~G~Stephane Aziz Ki
3999644^^2022-10-24|Fountain Gate FC|Singida Black Stars|1 - 0^^17~H~G~Shafik Batambuze
3999645^^2022-10-25|Tanzania Prisons|Polisi Tanzania FC|2 - 0^^4~H~PEN~Jeremiah Juma;45~H~G~Samsoni Mbangula
3999647^^2022-10-25|Dodoma Jiji FC|Mtibwa Sugar|0 - 1^^59~A~G~Charles Ilanfia
3999646^^2022-10-25|Namungo FC|Kagera Sugar|2 - 1^^8~H~G~Lucas Almeida Kikoti;45~A~G~Mbaraka Abeid;67~H~G~Jacob Masawe
3999648^^2022-10-26|Ruvu Shooting|Geita Gold FC|1 - 2^^8~A~G~Juma Mahadhi;20~H~G~Adulkassim Suleiman;69~A~G~Saidi Ntibazonkiza
3999649^^2022-10-26|Young Africans|Kinondoni MC|1 - 0^^79~H~G~Feisal Salum
3999650^^2022-10-27|Azam FC|Simba SC|1 - 0^^35~H~G~Prince Dube
3999651^^2022-10-29|Tanzania Prisons|Namungo FC|1 - 1^^21~A~G~Shiza Kichuya;90~H~OG~Frank Magingi
3999666^^2022-10-29|Geita Gold FC|Young Africans|0 - 1^^45~A~G~Bernard Morrison
3999668^^2022-10-30|Simba SC|Mtibwa Sugar|5 - 0^^38~H~G~Mzamiru Yassin;48~H~G~Papa Sakho;63~H~G~Augustine Okrah;73~H~G~Moses Phiri;90~H~G~Papa Sakho
3999669^^2022-10-31|Ruvu Shooting|Mbeya City|0 - 1^^16~A~G~Hassan Nassor
3999670^^2022-10-31|Azam FC|Singida Black Stars|1 - 0^^56~H~G~Prince Dube
3999672^^2022-11-01|Kagera Sugar|Kinondoni MC|1 - 0^^75~H~G~Anuary Jabiri
3999671^^2022-11-01|Polisi Tanzania FC|Dodoma Jiji FC|1 - 1^^52~H~G~Iddi Kipagwile;90~A~G~Collins Opare
3999673^^2022-11-04|Mbeya City|Namungo FC|2 - 1^^25~H~G~Sixtus Sabilo;55~H~G~Muhamud Hassan;62~A~G~Reliants Lusajo
3999716^^2022-11-06|Polisi Tanzania FC|Fountain Gate FC|0 - 1^^22~A~G~Meddie Kagere
3999704^^2022-11-07|Ruvu Shooting|Tanzania Prisons|1 - 1^^50~A~G~Samsoni Mbangula;58~H~G~Abalkassim Suleiman
3999659^^2022-11-09|Fountain Gate FC|Simba SC|1 - 1^^12~H~G~Deus Kaseke;60~A~G~Peter Banda
3999660^^2022-11-09|Azam FC|Dodoma Jiji FC|2 - 1^^38~H~G~Ismail Aziz;41~A~G~Collins Opare;90~H~G~Idris Mbombo
3999653^^2022-11-10|Tanzania Prisons|Coastal Union|0 - 2^^4~A~G~Maabad Maulid Maabad;60~A~G~Hamad Majimengi
